dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹,additional_qualification
Dr. Nitin Kumar,Dentist,BDS,12.0,Chattarpur,Delhi,100.0,2.0,400.0,Others
Dr. Priyanka,Dentist,BDS,17.0,Jangpura,Delhi,100.0,3.0,200.0,Not Applicable
Dr. Renu Sharma,Dentist,BDS,10.0,Dilshad Garden,Delhi,100.0,9.0,600.0,Not Applicable
Dr. Preksha Jain,Dentist,MDS,12.0,Mayur Vihar Ph-I,Delhi,100.0,5.0,400.0,BDS
Dr. Komal Yadav,Dentist,BDS,7.0,Dwarka Sector 11,Delhi,100.0,4.0,400.0,Not Applicable
Dr. Rachita Arora,Dentist,BDS,14.0,Safdarjung Enclave,Delhi,100.0,6.0,500.0,MDS
Dr. Rajat Yadav,Dentist,BDS,7.0,Nangloi,Delhi,0.0,0.0,300.0,Not Applicable
Dr. Shafaque Parween,Dentist,BDS,5.0,Okhla,Delhi,100.0,1.0,200.0,Not Applicable
Dr. Rohit Ojha,Dentist,BDS,6.0,Uttam Nagar,Delhi,0.0,0.0,400.0,Not Applicable
Dr. Ashutosh Kumar,Dentist,BDS,14.0,Dwarka Sector 19,Delhi,0.0,0.0,800.0,Not Applicable
Dr. Urvashi Rooprai,Dentist,BDS,24.0,Dwarka,Delhi,0.0,0.0,500.0,Not Applicable
Dr. Ravi Sachdeva,Dentist,BDS,11.0,Laxmi Nagar,Delhi,100.0,0.0,200.0,MDS
Dr. Vidhi Dhall,Dentist,BDS,3.0,Paschim Vihar,Delhi,0.0,0.0,300.0,Not Applicable
Dr. Ravi Pratap,Dentist,BDS,9.0,Saket,Delhi,100.0,2.0,500.0,MDS
Dr. Divyangana Madaan Ahuja,Dentist,MDS,6.0,Safdarjung Enclave,Delhi,0.0,0.0,400.0,BDS
Dr. Ayush Khatri,Dentist,BDS,8.0,Dwarka Sector 6,Delhi,100.0,3.0,500.0,Not Applicable
Dr. Ayush Tyagi,Dentist,BDS,5.0,Shakurpur,Delhi,100.0,12.0,500.0,Not Applicable
Dr. Manisha Yadav,Dentist,BDS,6.0,Dwarka,Delhi,0.0,0.0,500.0,Not Applicable
Dr. Ajay Sharma,Dentist,BDS,28.0,Saket,Delhi,50.0,0.0,1000.0,MDS
Dr. Sahil Rohilla,Dentist,BDS,10.0,Saket,Delhi,0.0,0.0,350.0,MDS
Dr. Jaiveer  Yadav,Dentist,MDS,10.0,Dwarka Sector 11,Delhi,0.0,0.0,400.0,BDS
Dr. Priya  Sharma,Dentist,BDS,4.0,Kamla Nagar,Delhi,0.0,0.0,300.0,Not Applicable
Dr. Anjali Agarwal,Dentist,BDS,10.0,Pitampura,Delhi,0.0,0.0,500.0,Not Applicable
Dr. Nitish,Dentist,BDS,5.0,Rohini Sector 15,Delhi,0.0,0.0,500.0,Not Applicable
Dr. Deepa Singh,Dentist,BDS,17.0,Mayur Vihar Ph-III,Delhi,95.0,18.0,400.0,Not Applicable
Dr. Archi,Dentist,BDS,15.0,Ashok Vihar,Delhi,97.0,105.0,300.0,Not Applicable
Dr. Rajeev Aggarwal,Dentist,BDS,22.0,Delhi,Delhi,99.0,230.0,500.0,MDS
Dr. T Chandan,Dentist,BDS,26.0,Delhi,Delhi,96.0,68.0,800.0,PhD
Dr. Anuj Manocha,Dentist,BDS,12.0,Delhi,Delhi,97.0,26.0,300.0,Not Applicable
Dr. Avinash Singh,Dentist,BDS,14.0,Uttam Nagar,Delhi,100.0,8.0,300.0,MDS
Dr. Milind Sharma,Dentist,BDS,11.0,Delhi,Delhi,100.0,86.0,500.0,MDS
Dr. Kamal Batra,Dentist,BDS,16.0,Delhi,Delhi,99.0,91.0,500.0,MDS
Dr. Tarun Ahuja,Dentist,BDS,18.0,Delhi,Delhi,94.0,106.0,500.0,Not Applicable
Dr. Rohit Malik,Dentist,BDS,22.0,Delhi,Delhi,94.0,357.0,800.0,MDS
Dr. Rahul Kamra,Dentist,BDS,26.0,Delhi,Delhi,98.0,31.0,500.0,Not Applicable
Dr. Upama Gupta,Dentist,BDS,21.0,Delhi,Delhi,98.0,206.0,800.0,Not Applicable
Dr. Sanjit Singh,Dentist,BDS,17.0,Panchsheel Park,Delhi,100.0,66.0,1200.0,Not Applicable
Dr. Rajesh Sardana,Dentist,BDS,13.0,Panchsheel Park,Delhi,100.0,5.0,900.0,Others
Dr. Aseem Gulati,Dentist,MDS,22.0,Delhi,Delhi,98.0,113.0,700.0,BDS
Dr. Sunil Datta,Dentist,BDS,30.0,Delhi,Delhi,100.0,79.0,1500.0,MDS
Dr. (Capt) Palas R Sharma,Dentist,BDS,34.0,Delhi,Delhi,97.0,56.0,500.0,Not Applicable
Dr. Sarika Solanki,Dentist,BDS,20.0,Delhi,Delhi,98.0,38.0,600.0,MDS
Dr. Rajnish Mallick,Dentist,BDS,27.0,Delhi,Delhi,95.0,39.0,700.0,Not Applicable
Dr. Anurag Ahuja,Dentist,BDS,15.0,Mayur Vihar Ph-I,Delhi,97.0,1106.0,300.0,MDS
Dr. Tanvir Singh,Dentist,BDS,23.0,Delhi,Delhi,96.0,75.0,500.0,MDS
Dr. Shruti Goyal,Dentist,BDS,9.0,Delhi,Delhi,98.0,44.0,200.0,MDS
Dr. Shweta Sehgal,Dentist,BDS,14.0,Delhi,Delhi,97.0,35.0,500.0,Not Applicable
Dr. Anurag Singh,Dentist,BDS,22.0,Panchsheel Park,Delhi,98.0,68.0,1500.0,MDS
Dr. Nikhil Goyal,Dentist,BDS,11.0,Delhi,Delhi,97.0,31.0,200.0,MDS
Dr. Sanju Lall,Dentist,BDS,28.0,Sarita Vihar,Delhi,100.0,16.0,1000.0,MDS
Dr. Karandeep Singh,Dentist,BDS,12.0,Delhi,Delhi,96.0,76.0,400.0,Not Applicable
Dr. Arvinder Kaur,Dentist,BDS,12.0,Delhi,Delhi,100.0,146.0,350.0,MDS
Dr. Sheetal Kochhar,Dentist,BDS,25.0,Panchsheel Park,Delhi,0.0,0.0,1000.0,MDS
Dr. Neetu Kamra,Dentist,BDS,24.0,Pusa Road,Delhi,0.0,0.0,800.0,Not Applicable
Dr. Taranjit Singh,Dentist,BDS,25.0,Delhi,Delhi,96.0,38.0,1000.0,Not Applicable
Dr. Col. Saroj Kumar Ojha,Dentist,BDS,40.0,Dwarka,Delhi,97.0,154.0,500.0,MDS
Dr. Anil Kohli,Dentist,BDS,45.0,Lajpat Nagar,Delhi,97.0,184.0,1000.0,MDS
Dr. Gunita Singh,Dentist,BDS,24.0,Delhi,Delhi,94.0,17.0,500.0,Not Applicable
Dr. Parul Gupta,Dentist,BDS,20.0,Rohini,Delhi,97.0,140.0,300.0,MDS
Dr. Jaynit Tandon,Dentist,BDS,4.0,Delhi,Delhi,100.0,1.0,300.0,MDS
Dr. Vishal Sood,Dentist,BDS,24.0,Mayur Vihar Ph-I,Delhi,99.0,75.0,500.0,MDS
Dr. Nidhi Gupta,Dentist,BDS,22.0,New Friends Colony,Delhi,99.0,179.0,600.0,Not Applicable
Dr. Neera Kumar,Dentist,BDS,27.0,CR Park,Delhi,100.0,9.0,500.0,Not Applicable
Dr. Vishu Aggarwal,Dentist,BDS,11.0,Delhi,Delhi,100.0,469.0,300.0,MDS
Dr. Pinky K Dhingra,Dentist,BDS,11.0,Pitampura,Delhi,95.0,63.0,300.0,MDS
Dr. Vishal Gupta,Dentist,BDS,23.0,New Friends Colony,Delhi,99.0,317.0,600.0,MDS
Dr. Gaurav Walia,Dentist,BDS,21.0,Sarita Vihar,Delhi,97.0,380.0,500.0,MDS
Dr. Rajat Mathur,Dentist,BDS,22.0,Jagriti Enclave,Delhi,98.0,128.0,500.0,Not Applicable
Dr. Rajesh Gandhi,Dentist,BDS,25.0,Green Park,Delhi,98.0,16.0,500.0,MDS
Dr. Mayank Mukhi,Dentist,BDS,14.0,Saket,Delhi,97.0,2.0,600.0,MDS
Dr. Manu Modi,Dentist,BDS,27.0,Delhi,Delhi,95.0,175.0,1000.0,MDS
Dr. Tarun Kumar Giroti,Dentist,MDS,25.0,Vasant Vihar,Delhi,99.0,308.0,500.0,BDS
Dr. Rupal Agrawal,Dentist,BDS,25.0,Delhi,Delhi,95.0,37.0,1000.0,MDS
Dr. Amit Dania,Dentist,BDS,24.0,Lajpat Nagar,Delhi,97.0,249.0,500.0,MDS
Dr. Rasleen Ahuja,Dentist,MDS,6.0,Mayur Vihar Ph-I,Delhi,99.0,80.0,300.0,Not Applicable
Dr. Vivek Kumar,Dentist,BDS,4.0,Delhi,Delhi,100.0,1.0,200.0,Not Applicable
Dr. Prashant Nanda,Dentist,BDS,14.0,Defence Colony,Delhi,99.0,213.0,500.0,MDS
Dr. Poonam Malik Sehrawat,Dentist,BDS,18.0,Vasant Kunj,Delhi,98.0,223.0,600.0,MDS
Dr. Ashish Kakkar,Dentist,BDS,33.0,Sarita Vihar,Delhi,0.0,0.0,1000.0,Not Applicable
Dr. Manish Sharma,Dentist,BDS,24.0,Kailash Colony,Delhi,98.0,63.0,1000.0,MDS
Dr. Jyoti C.Bhasin,Dentist,BDS,23.0,Vasundhra Enclave,Delhi,99.0,41.0,950.0,Not Applicable
Dr. Salil Kochar,Dentist,BDS,15.0,Lajpat Nagar,Delhi,97.0,92.0,500.0,MDS
Dr. Gautam Bir Singh,Dentist,BDS,24.0,Sukhdev Vihar,Delhi,98.0,82.0,700.0,Not Applicable
Dr. Akanksha Tokas,Dentist,BDS,5.0,Dwarka,Delhi,100.0,11.0,500.0,MDS
Dr. Shalu,Dentist,BDS,2.0,Delhi,Delhi,0.0,0.0,200.0,Not Applicable
Dr. Uday Sharma,Dentist,BDS,4.0,Delhi,Delhi,0.0,0.0,100.0,Not Applicable
Dr. Ajay Thakur,Dentist,BDS,14.0,Delhi,Delhi,91.0,15.0,400.0,Not Applicable
Dr. Sharad Gupta,Dentist,BDS,27.0,Hari Nagar,Delhi,98.0,95.0,500.0,MDS
Dr. Vikee Singh,Dentist,BDS,22.0,Safdarjung Enclave,Delhi,99.0,63.0,1500.0,Others
Dr. Shruti Malik,Dentist,BDS,9.0,Nirman Vihar,Delhi,95.0,63.0,400.0,MDS
Dr. Smriti Malhotra Nanda,Dentist,BDS,14.0,Delhi,Delhi,100.0,92.0,1000.0,MDS
Dr. Charu Dhanuka,Dentist,BDS,4.0,Delhi,Delhi,100.0,8.0,300.0,Not Applicable
Dr. Himesh Jain,Dentist,MDS,15.0,Paschim Vihar,Delhi,100.0,0.0,300.0,BDS
Dr. Manju Kaushik,Dentist,BDS,29.0,Lajpat Nagar,Delhi,99.0,179.0,500.0,MDS
Dr. Pratik Aggrawal,Dentist,BDS,12.0,Old Rajendra Nagar,Delhi,89.0,14.0,1600.0,MDS
Dr. Siddhartha Pujari,Dentist,BDS,20.0,Greater Kailash Part 2,Delhi,100.0,100.0,700.0,MDS
Dr. Shveta Gupta,Dentist,BDS,19.0,Vijaynagar,Delhi,99.0,26.0,500.0,MDS
Dr. Kanika,Dentist,BDS,5.0,Delhi,Delhi,100.0,9.0,300.0,Not Applicable
Dr. Avneet Singh Chopra,Dentist,BDS,12.0,Delhi,Delhi,98.0,79.0,400.0,Not Applicable
Dr. Shiana Bansal,Dentist,BDS,11.0,Janakpuri,Delhi,100.0,5.0,500.0,MDS
Dr. Nishtha Agarwal,Dentist,BDS,13.0,Delhi,Delhi,100.0,1.0,600.0,MDS
Dr. Sushil Kumar Singh,Dentist,BDS,15.0,Nangloi,Delhi,77.0,15.0,100.0,MDS
Dr. Radhika Goel,Dentist,BDS,3.0,Vasant Vihar,Delhi,100.0,19.0,500.0,Not Applicable
Dr. Gurleen Kaur,Dentist,BDS,18.0,Delhi,Delhi,100.0,0.0,500.0,Not Applicable
Dr. Manisha Nagar Baisoya,Dentist,BDS,11.0,Delhi,Delhi,100.0,2.0,500.0,Not Applicable
Dr. Shubhangini Gandhi,Dentist,BDS,22.0,Green Park,Delhi,98.0,44.0,500.0,MDS
Dr. Avneesh Kumar,Dentist,BDS,8.0,Mayur Vihar,Delhi,100.0,2.0,400.0,Not Applicable
Dr. Rohit Gupta,Dentist,BDS,6.0,Delhi,Delhi,0.0,0.0,200.0,Not Applicable
Dr. Apurva Vaidya,Dentist,BDS,7.0,Paschim Puri,Delhi,99.0,113.0,300.0,MDS
Dr. Ravi Dahiya,Dentist,BDS,12.0,Rohini Sector 15,Delhi,100.0,6.0,500.0,MDS
Dr. Mudita Gupta,Dentist,BDS,9.0,Mayur Vihar,Delhi,100.0,0.0,400.0,Not Applicable
Dr. Shiva Sharma,Dentist,BDS,11.0,Saket,Delhi,100.0,2.0,600.0,Not Applicable
Dr. Kalpana Aggrawal,Gynecologist,MBBS,19.0,Dwarka,Delhi,91.0,325.0,500.0,MS
Dr. Madhu Ahuja,Gynecologist,MBBS,38.0,Patparganj,Delhi,93.0,24.0,1100.0,MD
Dr. Malvika Sabharwal,Gynecologist,MBBS,41.0,Karol Bagh,Delhi,88.0,45.0,1050.0,DGO
Dr. Neeta Misra,Gynecologist,MBBS,37.0,Nehru Place,Delhi,95.0,30.0,1100.0,MD
Dr. Keerti Khetan,Gynecologist,MBBS,29.0,Pusa Road,Delhi,92.0,9.0,1500.0,MS
Dr. Vaishali Sharma,Gynecologist,MBBS,17.0,Panchsheel Park,Delhi,99.0,351.0,2000.0,MD
Dr. Neha Khandelwal,Gynecologist,MBBS,17.0,Greater Kailash Part 1,Delhi,99.0,435.0,1200.0,MS
Dr. Shikha Gurnani,Gynecologist,MBBS,19.0,Dwarka,Delhi,98.0,654.0,800.0,DNB
Dr. Neema Sharma,Gynecologist,MBBS,26.0,Vasant Kunj,Delhi,95.0,42.0,1200.0,MD
Dr. Dhwani Mago,Gynecologist,DGO,15.0,Greater Kailash Part 1,Delhi,100.0,89.0,1000.0,MBBS
Dr. Ranjana Sharma,Gynecologist,MBBS,42.0,Sarita Vihar,Delhi,79.0,11.0,2000.0,MS
Dr. Sushma Sinha,Gynecologist,MBBS,36.0,Sarita Vihar,Delhi,100.0,0.0,2000.0,MD
Dr. Shakti Bhan Khanna,Gynecologist,MBBS,58.0,Sarita Vihar,Delhi,100.0,4.0,2000.0,MD
Dr. Harmeet Malhotra,Gynecologist,MBBS,46.0,Sarita Vihar,Delhi,79.0,9.0,2000.0,MD
Dr. Prof. Sadhana Kala,Gynecologist,MBBS,44.0,Kalkaji,Delhi,98.0,212.0,1500.0,MS
Dr. Parinita Kalita,Gynecologist,MBBS,32.0,IP Extension,Delhi,89.0,177.0,700.0,MD
Dr. Pratibha Gupta,Gynecologist,MBBS,21.0,Janakpuri,Delhi,95.0,377.0,600.0,MS
Dr. Gurmeet Bansal,Gynecologist,MBBS,35.0,Nehru Place,Delhi,71.0,3.0,1200.0,MD
Dr. Gayatri Bala Juneja,Gynecologist,MBBS,29.0,Model Town,Delhi,99.0,84.0,1500.0,"DGO, DNB"
Dr. Sanjida Yasmin,Gynecologist,MBBS,19.0,Nehru Place,Delhi,100.0,76.0,800.0,"DGO, DNB"
Dr. Sonia Naik,Gynecologist,MBBS,29.0,Panchsheel Park,Delhi,62.0,15.0,1200.0,MD
Dr. Sarika Gupta,Gynecologist,MBBS,19.0,Sarita Vihar,Delhi,100.0,5.0,1500.0,MD
Dr. Sutopa Banerjee,Gynecologist,MBBS,25.0,Vasant Kunj,Delhi,97.0,757.0,1200.0,"DGO, DNB"
Dr. Anuradha Dakour,Gynecologist,MBBS,18.0,Lajpat Nagar,Delhi,97.0,197.0,500.0,DGO
Dr. Lalita Badhwar,Gynecologist,MBBS,40.0,Sarita Vihar,Delhi,100.0,0.0,2000.0,MD
Dr. Mayur Dass,Gynecologist,MBBS,19.0,Vasundhra Enclave,Delhi,97.0,124.0,600.0,"DGO, DNB"
Dr. Shalini Agarwal,Gynecologist,MBBS,22.0,Patparganj,Delhi,99.0,197.0,1100.0,"DGO, DNB"
Dr. Seema Sharma,Gynecologist,MBBS,28.0,Rajouri Garden,Delhi,96.0,344.0,1000.0,"DGO, MD"
Dr. Sheetal Sachdeva,Gynecologist,MBBS,21.0,Pitampura,Delhi,98.0,227.0,800.0,"DGO, DNB"
Dr. Anita Kaul,Gynecologist,MBBS,36.0,Sarita Vihar,Delhi,88.0,8.0,1200.0,MS
Dr. Alka Sinha,Gynecologist,MBBS,22.0,Pusa Road,Delhi,62.0,16.0,1300.0,MD
Dr. Sohani Verma,Gynecologist,MBBS,46.0,Sarita Vihar,Delhi,50.0,3.0,2000.0,Others
Dr. Jasleen Kaur Malhotra,Gynecologist,MBBS,23.0,Dwarka,Delhi,98.0,382.0,600.0,"DGO, DNB"
Dr. Manorama Bhutani,Gynecologist,MBBS,64.0,Greater Kailash Part 2,Delhi,83.0,4.0,1200.0,MD
Dr. Madhu Roy,Gynecologist,MBBS,40.0,Sarita Vihar,Delhi,0.0,0.0,2000.0,MD
Dr. Saloni Arora,Gynecologist,MBBS,12.0,Pusa Road,Delhi,100.0,1.0,1200.0,MD
Dr. Poonam Khera,Gynecologist,DGO,25.0,Pusa Road,Delhi,92.0,17.0,1300.0,DNB
Dr. Kamal Buckshee,Gynecologist,MBBS,61.0,Greater Kailash Part 2,Delhi,88.0,2.0,1300.0,MD
Dr. Shivani Sabharwal,Gynecologist,MBBS,17.0,Karol Bagh,Delhi,87.0,23.0,1050.0,MS
Dr. Parul Sharma,Gynecologist,MBBS,7.0,Vikas Puri,Delhi,0.0,0.0,800.0,MS
Dr. Yashica Gudesar,Gynecologist,MBBS,23.0,Dwarka Sector 6,Delhi,95.0,194.0,900.0,DNB
Dr. Dinesh Kansal,Gynecologist,MBBS,38.0,Pusa Road,Delhi,65.0,13.0,1500.0,MD
Dr. Anju Rani,Gynecologist,MBBS,39.0,Saket,Delhi,94.0,17.0,800.0,DGO
Dr. Laxmi Mantri,Gynecologist,MBBS,35.0,Pusa Road,Delhi,82.0,3.0,1300.0,MS
Dr. Harveen Kaur,Gynecologist,MBBS,22.0,Malviya Nagar,Delhi,97.0,65.0,800.0,DNB
Dr. Tripti Sharan,Gynecologist,MBBS,29.0,Pusa Road,Delhi,64.0,4.0,1500.0,MS
Dr. Geeta Chadha,Gynecologist,MBBS,39.0,Nehru Place,Delhi,75.0,10.0,2100.0,MD
Dr. Sunita Verma,Gynecologist,MBBS,33.0,Dwarka,Delhi,92.0,36.0,1000.0,"DGO, DNB"
Dr. Anita Gupta,Gynecologist,MBBS,39.0,Greater Kailash Part 2,Delhi,98.0,42.0,1500.0,MS
Dr. Ruchi Malhotra,Gynecologist,DGO,30.0,Kingsway Camp,Delhi,90.0,76.0,700.0,DNB
Dr. Divya Singhal,Gynecologist,MBBS,38.0,Pitampura,Delhi,98.0,92.0,900.0,DGO
Dr. Anita K Jain,Gynecologist,MBBS,23.0,Paschim Vihar,Delhi,98.0,57.0,600.0,DGO
Dr. Poonam Agarwal,Gynecologist,MBBS,32.0,Paschim Vihar,Delhi,99.0,128.0,1000.0,"DGO, DNB"
Dr. Karishma Bhatia,Gynecologist,MBBS,11.0,Rohini,Delhi,97.0,76.0,500.0,MS
Dr. Pooja Choudhary,Gynecologist,MD,22.0,Safdarjung Enclave,Delhi,96.0,121.0,900.0,MBBS
Dr. Madhu Goel,Gynecologist,MD,29.0,Greater Kailash Part 2,Delhi,99.0,179.0,1200.0,DNB
Dr. Akta Bajaj,Gynecologist,MBBS,25.0,Paschim Vihar,Delhi,96.0,47.0,700.0,MD
Dr. Meenakshi Ahuja,Gynecologist,MBBS,34.0,Greater Kailash Part 2,Delhi,95.0,17.0,1500.0,MD
Dr. Arpana Jain,Gynecologist,MBBS,30.0,Kingsway Camp,Delhi,95.0,279.0,1500.0,"DGO, DNB"
Dr. Neena Bahl,Gynecologist,MBBS,34.0,Greater Kailash Part 2,Delhi,97.0,13.0,1500.0,MD
Dr. Raj Bokaria,Gynecologist,MBBS,46.0,Greater Kailash Part 2,Delhi,100.0,1.0,1500.0,MS
Dr. Divya Wadhawan,Gynecologist,MBBS,13.0,Nehru Place,Delhi,100.0,0.0,700.0,DNB
Dr. Madhumita Patel,Gynecologist,MBBS,16.0,Chattarpur,Delhi,100.0,177.0,600.0,DNB
Dr. Nivedita Raizada,Gynecologist,MBBS,17.0,Vasant Kunj,Delhi,100.0,256.0,800.0,MS
Dr. Shilpa Dhameja,Gynecologist,MBBS,20.0,Vasant Kunj,Delhi,98.0,576.0,800.0,"DGO, DNB"
Dr. Neha Jain,Gynecologist,MBBS,17.0,Mehrauli,Delhi,95.0,121.0,500.0,DGO
Dr. Shalini Chawla Khanna,Gynecologist,MBBS,24.0,Alaknanda,Delhi,99.0,244.0,1000.0,"DGO, DNB"
Dr. Yachna Grover,Gynecologist,MBBS,30.0,Greater Kailash Part 2,Delhi,98.0,299.0,1200.0,DGO
Dr. Priya Agarwal,Gynecologist,MS,11.0,Dilshad Garden,Delhi,100.0,14.0,500.0,MBBS
Dr. Samvedna Sindwani,Gynecologist,MBBS,13.0,Vikas Puri,Delhi,97.0,29.0,500.0,DGO
Dr. Mamta Mishra,Gynecologist,MBBS,29.0,Vasant Kunj,Delhi,97.0,74.0,1200.0,Others
Dr. Rita Bakshi,Gynecologist,MBBS,38.0,Green Park,Delhi,95.0,142.0,1500.0,MD
Dr. Jasbir Chandna,Gynecologist,MBBS,43.0,Greater Kailash Part 2,Delhi,92.0,6.0,1500.0,MD
Dr. Neera Aggarwal,Gynecologist,MS,57.0,Patparganj,Delhi,90.0,2.0,1000.0,MBBS
Dr. Aparna Muddana,Gynecologist,MBBS,20.0,Greater Kailash Part 2,Delhi,100.0,17.0,800.0,MS
Dr. Sadhna Singhal Vishnoi,Gynecologist,MBBS,28.0,Punjabi Bagh,Delhi,97.0,104.0,1000.0,DNB
Dr. Garima Srivastav,Gynecologist,MBBS,10.0,Pitampura,Delhi,93.0,33.0,800.0,MD
Dr. Preetinder Kaur,Gynecologist,MBBS,24.0,Punjabi Bagh,Delhi,95.0,85.0,1000.0,MD
Dr. Puneet Bedi,Gynecologist,MBBS,42.0,Sarita Vihar,Delhi,40.0,3.0,2000.0,MD
Dr. Yogita Parashar,Gynecologist,MBBS,18.0,Dwarka Sector 6,Delhi,97.0,74.0,900.0,"DGO, DNB"
Dr. Puja Sharma,Gynecologist,MD,18.0,Hauz Khas,Delhi,98.0,163.0,1000.0,MBBS
Dr. Nimmi Rastogi,Gynecologist,MBBS,20.0,Malviya Nagar,Delhi,84.0,21.0,1000.0,DGO
Dr. Yukti Wadhawan,Gynecologist,MBBS,17.0,Rajouri Garden,Delhi,98.0,51.0,1000.0,MS
Dr. Sunita Arora,Gynecologist,MBBS,25.0,Greater Kailash Part 2,Delhi,100.0,48.0,1500.0,MD
Dr. Neena Singh,Gynecologist,MBBS,35.0,Greater Kailash Part 2,Delhi,100.0,5.0,1500.0,MD
Dr. Priya Shukla,Gynecologist,MBBS,12.0,Nehru Place,Delhi,100.0,1.0,1500.0,DNB
Dr. Brigadier RK Sharma,Gynecologist,MD,39.0,Janakpuri,Delhi,100.0,3.0,1000.0,MBBS
Dr. Prerna Gupta,Gynecologist,MD,18.0,Hauz Khas,Delhi,98.0,201.0,1500.0,Others
Dr. Jyoti Bali,Gynecologist,MBBS,24.0,Karol Bagh,Delhi,96.0,19.0,500.0,MS
Dr. Shabnam,Gynecologist,MBBS,17.0,Mehrauli,Delhi,99.0,246.0,1500.0,DNB
Dr. Usha Maurya Kumar,Gynecologist,MS,34.0,Saket,Delhi,60.0,40.0,1200.0,Others
Dr. Sonal Prasad,Gynecologist,MBBS,11.0,Rohini,Delhi,100.0,26.0,600.0,DNB
Dr. Swati Mehrotra,Gynecologist,MBBS,11.0,Naraina Vihar,Delhi,100.0,20.0,600.0,DNB
Dr. Jasvinder Kaur,Gynecologist,MBBS,18.0,Rohini Sector 3,Delhi,100.0,20.0,600.0,DNB
Dr. Rosy Dhall,Gynecologist,MBBS,30.0,Delhi,Delhi,93.0,23.0,900.0,DNB
Dr. Sushmita Mishra,Gynecologist,MBBS,31.0,Delhi,Delhi,92.0,16.0,800.0,MD
Dr. Supriya Goyal,Gynecologist,MBBS,13.0,Vasant Kunj,Delhi,97.0,28.0,800.0,MS
Dr. Shalini Chaudhry,Gynecologist,MBBS,25.0,Dwarka,Delhi,91.0,90.0,700.0,DGO
Dr. Shishta Nadda Basu,Gynecologist,MBBS,42.0,Shalimar Bagh,Delhi,100.0,1.0,1000.0,MS
Dr. Tripat Choudhary,Gynecologist,MBBS,46.0,Greater Kailash Part 2,Delhi,93.0,13.0,2500.0,MD
Dr. Dipti K Yadav,Gynecologist,MBBS,27.0,Dwarka Sector 12,Delhi,86.0,30.0,800.0,MS
Dr. Preeti Tahilyani,Gynecologist,MS,20.0,Dwarka,Delhi,100.0,79.0,1000.0,MBBS
Dr. Sujata Agarwal,Gynecologist,MBBS,34.0,New Friends Colony,Delhi,92.0,45.0,1200.0,MD
Dr. Dharna Gupta,Gynecologist,DGO,13.0,Dwarka Sector 22,Delhi,98.0,87.0,700.0,DNB
Dr. Aanchal Agarwal,Gynecologist,MBBS,21.0,Punjabi Bagh,Delhi,100.0,0.0,1000.0,DNB
Dr. Archana Bachan Singh,Gynecologist,MBBS,37.0,Patparganj,Delhi,75.0,2.0,1000.0,MD
Dr. Payal Chaudhary,Gynecologist,MBBS,22.0,Malviya Nagar,Delhi,99.0,35.0,1200.0,MD
Dr. Sowjanya Aggarwal,Gynecologist,MBBS,18.0,Patparganj,Delhi,100.0,4.0,1000.0,MS
Dr. Ankita Chandna,Gynecologist,MBBS,17.0,Shalimar Bagh,Delhi,89.0,8.0,1100.0,MD
Dr. Raka Guleria,Gynecologist,MBBS,34.0,Greater Kailash Part 2,Delhi,86.0,8.0,1500.0,MS
Dr. Sharmistha Garg,Gynecologist,MBBS,14.0,Pitampura,Delhi,100.0,2.0,1000.0,DNB
Dr. Sukanya Patra,Gynecologist,MBBS,26.0,Vasant Vihar,Delhi,98.0,89.0,1000.0,Others
Dr. Surveen Ghumman,Gynecologist,MBBS,31.0,Patparganj,Delhi,71.0,9.0,1000.0,MD
Dr. Anuradha Tamaria,Gynecologist,MS,11.0,Vasant Kunj,Delhi,100.0,11.0,600.0,MBBS
Dr. Nivedita Kaul,Gynecologist,Others,21.0,Punjabi Bagh,Delhi,100.0,191.0,1000.0,MD
Dr. Suyesha Khanijao,Gynecologist,MBBS,14.0,Saket,Delhi,95.0,81.0,1000.0,DNB
Dr. Shelly Singh,Gynecologist,MBBS,32.0,Panchsheel Park,Delhi,100.0,2.0,1600.0,MD
Dr. Saloni Chopra,Gynecologist,MD,11.0,Vikas Puri,Delhi,94.0,30.0,500.0,MBBS
Dr. Ila Gupta,Gynecologist,MBBS,38.0,Patparganj,Delhi,58.0,7.0,1100.0,MD
Dr. Archana Rawat,Gynecologist,DGO,15.0,Dwarka Sector 7,Delhi,98.0,116.0,500.0,Others
Dr. Akshatha Nishit Sharma,Gynecologist,MBBS,17.0,Sarita Vihar,Delhi,0.0,0.0,1000.0,MS
Dr. Manjusha Goel,Gynecologist,MBBS,24.0,Punjabi Bagh,Delhi,50.0,1.0,1000.0,MD
Dr. Pannam Sharma,Gynecologist,DGO,15.0,Punjabi Bagh,Delhi,100.0,180.0,1000.0,MBBS
Dr. Seema Roy,Gynecologist,MBBS,19.0,Tilak Nagar,Delhi,100.0,34.0,600.0,DNB
Dr. Nikky Yadav,Gynecologist,MBBS,10.0,Greater Kailash Part 1,Delhi,0.0,0.0,800.0,MS
Dr. Ashima Gulia,Gynecologist,MBBS,15.0,Malviya Nagar,Delhi,100.0,1.0,1100.0,MD
Dr. Arpana Haritwal,Gynecologist,MBBS,17.0,Saket,Delhi,100.0,1.0,1000.0,MS
Dr. Sushma Dikhit,Gynecologist,MBBS,41.0,Patparganj,Delhi,63.0,22.0,1100.0,MS
